CrcName,PolyDes,Width,PolyValue,InitValue,XorOutValue,RevIn,RevOut
CRC-4/ITU,x4 + x + 1,4,3,0,0,TRUE,TRUE
CRC-5/EPC,x5 + x3 + 1,5,9,9,0,FALSE,FALSE
CRC-5/ITU,x5 + x4 + x2 + 1,5,15,0,0,TRUE,TRUE
CRC-5/USB,x5 + x2 + 1,5,5,1F,1F,TRUE,TRUE
CRC-6/ITU,x6 + x + 1,6,3,0,0,TRUE,TRUE
CRC-7/MMC,x7 + x3 + 1,7,9,0,0,FALSE,FALSE
CRC-8,x8 + x2 + x + 1,8,7,0,0,FALSE,FALSE
CRC-8/ITU,x8 + x2 + x + 1,8,7,0,55,FALSE,FALSE
CRC-8/ROHC,x8 + x2 + x + 1,8,7,FF,0,TRUE,TRUE
CRC-8/MAXIM,x8 + x5 + x4 + 1,8,31,0,0,TRUE,TRUE
CRC-16/IBM,x16 + x15 + x2 + 1,16,8005,0,0,TRUE,TRUE
CRC-16/MAXIM,x16 + x15 + x2 + 1,16,8005,0,FFFF,TRUE,TRUE
CRC-16/USB,x16 + x15 + x2 + 1,16,8005,FFFF,FFFF,TRUE,TRUE
CRC-16/MODBUS,x16 + x15 + x2 + 1,16,8005,FFFF,0,TRUE,TRUE
CRC-16/CCITT,x16 + x12 + x5 + 1,16,1021,0,0,TRUE,TRUE
CRC-16/CCITT-FALSE,x16 + x12 + x5 + 1,16,1021,FFFF,0,FALSE,FALSE
CRC-16/X25,x16 + x12 + x5 + 1,16,1021,FFFF,FFFF,TRUE,TRUE
CRC-16/XMODEM,x16 + x12 + x5 + 1,16,1021,0,0,FALSE,FALSE
CRC-16/DNP,x16 + x13 + x12 + x11 + x10 + x8 + x6 + x5 + x2 + 1,16,3D65,0,FFFF,TRUE,TRUE
CRC-32,x32 + x26 + x23 + x22 + x16 + x12 + x11 + x10 + x8 + x7 + x5 + x4 + x2 + x + 1,32,04C11DB7,FFFFFFFF,FFFFFFFF,TRUE,TRUE
CRC-32/MPEG-2,x32 + x26 + x23 + x22 + x16 + x12 + x11 + x10 + x8 + x7 + x5 + x4 + x2 + x + 1,32,04C11DB7,FFFFFFFF,0,FALSE,FALSE